,Category ID,Category Name,Number,Name,Weight (in Grams),Dimensions
3521,238,"Minifigure, Head",3626ap01,"Minifigure, Head Standard Grin Pattern - Solid Stud",0.57,? x ? x ?
3522,238,"Minifigure, Head",3626bpx96,"Minifigure, Head Moustache Wavy, Goatee and Bushy Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3523,238,"Minifigure, Head",3626bpx97,"Minifigure, Head Moustache and Forehead Tuft Pattern - Blocked Open Stud",0.54,? x ? x ?
3524,238,"Minifigure, Head",3626bpx120,"Minifigure, Head Moustache Red Goatee Pattern - Blocked Open Stud",0.54,? x ? x ?
3525,238,"Minifigure, Head",3626bpx108,"Minifigure, Head Moustache, Stubble and Bald Hair Part Pattern - Blocked Open Stud",0.54,? x ? x ?
3526,238,"Minifigure, Head",3626bpx119,"Minifigure, Head Male Eyepatch, Stubble, Black Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3527,238,"Minifigure, Head",3626apb04,"Minifigure, Head Moustache, Stubble and Messy Hair Black Pattern - Solid Stud",0.57,? x ? x ?
3528,238,"Minifigure, Head",3626bpb0008,"Minifigure, Head Alien with Gold Paint, Slanted Eyes and White Teeth Pattern - Blocked Open Stud",0.54,? x ? x ?
3529,238,"Minifigure, Head",3626bpb0012,"Minifigure, Head Moustache Thin, Stubble and Sideburns Pattern - Blocked Open Stud",0.54,? x ? x ?
3530,238,"Minifigure, Head",3626bp61,"Minifigure, Head Moustache Ice Planet White and White Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3531,238,"Minifigure, Head",3626bp40,"Minifigure, Head Female with Messy Black Hair, Thick Red Lips Pattern - Blocked Open Stud",0.54,? x ? x ?
3532,238,"Minifigure, Head",3626bpb0106,"Minifigure, Head Female with Red Lips, White Hair and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3533,238,"Minifigure, Head",3626bpb0107,"Minifigure, Head Alien with Green Hair, Copper Eyepiece and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3534,238,"Minifigure, Head",3626bpb0108,"Minifigure, Head Alien with Red Eyes, Frown and Gills Pattern - Blocked Open Stud",0.54,? x ? x ?
3535,238,"Minifigure, Head",3626bpb0082,"Minifigure, Head Male Eyepatch, Stubble, Red-Brown Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3536,238,"Minifigure, Head",3626bpx101,"Minifigure, Head Male Headband Red and Freckles Pattern - Blocked Open Stud",0.54,? x ? x ?
3537,238,"Minifigure, Head",3626bpb0175,"Minifigure, Head Female with Red Lips, Open Mouth, Thick Eyelashes Pattern - Blocked Open Stud",0.54,? x ? x ?
3538,238,"Minifigure, Head",3626bpx123,"Minifigure, Head Beard Vertical Lines with Messy Hair, Moustache Red-Brown, Eyepatch Pattern - Blocked Open Stud",0.54,? x ? x ?
3539,238,"Minifigure, Head",3626apb05,"Minifigure, Head Beard Vertical Lines with Messy Hair, Moustache Brown Pattern - Solid Stud",0.57,? x ? x ?
3540,238,"Minifigure, Head",3626apb06,"Minifigure, Head Beard Vertical Lines with Messy Hair, Moustache Red, Eyepatch Pattern - Solid Stud",0.57,? x ? x ?
3549,238,"Minifigure, Head",3626bp3j,"Minifigure, Head Face Paint Islander with Red and White War Paint Pattern - Blocked Open Stud",0.54,? x ? x ?
3610,238,"Minifigure, Head",3626bp3k,"Minifigure, Head Face Paint Islander with White and Blue War Paint Pattern - Blocked Open Stud",0.54,? x ? x ?
3622,238,"Minifigure, Head",3626bp62,"Minifigure, Head Male White Bangs Messy Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3634,238,"Minifigure, Head",3626bpx90,"Minifigure, Head Male Messy Orange Hair and Black Sideburns Pattern - Blocked Open Stud",0.54,? x ? x ?
3652,238,"Minifigure, Head",3626bpb0010,"Minifigure, Head Alien with HP Troll, Eyebrows, Red Eyes, Teeth Pattern - Blocked Open Stud",0.54,? x ? x ?
3653,238,"Minifigure, Head",3626bpb0011,"Minifigure, Head Pumpkin Jack O' Lantern Pattern - Blocked Open Stud",0.54,? x ? x ?
3738,238,"Minifigure, Head",3626bpb0083,"Minifigure, Head Moustache Curly and Full, Plain Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3739,238,"Minifigure, Head",3626bpb0081,"Minifigure, Head Alien with Robot Female, Lips Pattern - Blocked Open Stud",0.54,? x ? x ?
3740,238,"Minifigure, Head",3626bpx141,"Minifigure, Head Beard with Beard, Hair, and Sideburns in Vertical Line Pattern - Blocked Open Stud",0.54,? x ? x ?
3741,238,"Minifigure, Head",3626bpb0057,"Minifigure, Head Moustache Red, Headset, Red Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3742,238,"Minifigure, Head",3626bpb0093,"Minifigure, Head Alien with Blue and Silver Mask Type 2 Pattern - Blocked Open Stud",0.54,? x ? x ?
3743,238,"Minifigure, Head",3626bpb0094,"Minifigure, Head Alien with Blue and Silver Mask Type 3 Pattern - Blocked Open Stud",0.54,? x ? x ?
3746,238,"Minifigure, Head",3626bpb0092,"Minifigure, Head Alien with Red Eyes, Frown, and Messy Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3747,238,"Minifigure, Head",3626bpx100,"Minifigure, Head Male Black Unibrow, Stubble under Dipping Mouth Line Pattern - Blocked Open Stud",0.54,? x ? x ?
3748,238,"Minifigure, Head",3626bpb0021,"Minifigure, Head Female with Black Pointed Eyelashes, Red Lips Pattern - Blocked Open Stud",0.54,? x ? x ?
3781,238,"Minifigure, Head",3626bpx124,"Minifigure, Head Standard Grin and Red Nose Freckles Pattern - Blocked Open Stud",0.54,? x ? x ?
3833,238,"Minifigure, Head",3626bpb0095,"Minifigure, Head Male Open Mouth and Raised Eyebrow and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3836,238,"Minifigure, Head",3626bpb0045,"Minifigure, Head Male Brown Bangs Parted on Right, Thick Eyes and Smile Pattern - Blocked Open Stud",0.54,? x ? x ?
3843,238,"Minifigure, Head",3626apb07,"Minifigure, Head Moustache, Stubble and Sideburns Black Pattern - Solid Stud",0.57,? x ? x ?
3844,238,"Minifigure, Head",3626apb08,"Minifigure, Head Moustache, Stubble and Sideburns Brown Pattern - Solid Stud",0.57,? x ? x ?
3873,238,"Minifigure, Head",3626bpb0096,"Minifigure, Head Moustache, Stubble and Sideburns Brown Pattern - Blocked Open Stud",0.54,? x ? x ?
4200,238,"Minifigure, Head",3626bpb0100,"Minifigure, Head Male Headband Blue with Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
4213,238,"Minifigure, Head",3626bpst,"Minifigure, Head Alien with SW Tusken Raider Pattern - Blocked Open Stud",0.54,? x ? x ?
4297,238,"Minifigure, Head",3626bpx116,"Minifigure, Head Dual Sided Female Orange Hair Tendrils, Scared / Smile Pattern - Blocked Open Stud",0.54,? x ? x ?
4298,238,"Minifigure, Head",3626bpx117,"Minifigure, Head Dual Sided Male with Thick Brown Eyebrows Determined / Scared Open Mouth Pattern - Blocked Open Stud",0.54,? x ? x ?
4299,238,"Minifigure, Head",3626bpx115,"Minifigure, Head Skull Evil with Eyebrows, Black Print Pattern - Blocked Open Stud",0.54,? x ? x ?
4300,238,"Minifigure, Head",3626bpx150,"Minifigure, Head (Without Face) Purple Brain Pattern - Blocked Open Stud",0.54,? x ? x ?
4364,238,"Minifigure, Head",3626bpb0005,"Minifigure, Head Alien with Robot Gold Pattern - Blocked Open Stud",0.54,? x ? x ?
4465,238,"Minifigure, Head",3626bpx31,"Minifigure, Head Alien with Silver Hair, Copper Eyegrid and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
4491,238,"Minifigure, Head",3626bpx102,"Minifigure, Head Balaclava with Green Goblin Face, Lines on Back Pattern - Blocked Open Stud",0.54,? x ? x ?
4494,238,"Minifigure, Head",3626bpx51,"Minifigure, Head Male Open Mouth, Gray Eyes with White Pupils, Thin Black Eyebrows and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
4502,238,"Minifigure, Head",3626bpx53,"Minifigure, Head Male Huge Grin, Headset, Eyebrows Pattern (Flex) - Blocked Open Stud",0.54,? x ? x ?
4515,238,"Minifigure, Head",3626bpsc,"Minifigure, Head Dual Sided Alien with SW Gray Eyebrows / Implant Pattern (Lobot) - Blocked Open Stud",0.54,? x ? x ?
4516,238,"Minifigure, Head",3626bpb0101,"Minifigure, Head Moustache Gray Hair, and Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
4519,238,"Minifigure, Head",3626bpb0103,"Minifigure, Head Male Brown Hair, Thick Arched Eyebrows and Stubble Pattern - Blocked Open Stud",0.54,? x ? x ?
4520,238,"Minifigure, Head",3626bpx121,"Minifigure, Head Moustache Pointed, Black Hair and Sideburns, Open Mouth Pattern - Blocked Open Stud",0.54,? x ? x ?
4521,238,"Minifigure, Head",3626bpx43,"Minifigure, Head Beard, Raised Gray Eyebrows and Open White Mouth, Black Pupils Pattern - Blocked Open Stud",0.54,? x ? x ?
4529,238,"Minifigure, Head",3626bpb0247,"Minifigure, Head Alien with Blue Eye Mask Small and Black and Red Mouth Grille Pattern - Blocked Open Stud",0.54,? x ? x ?
4530,238,"Minifigure, Head",3626bpb0248,"Minifigure, Head Alien with Gray Mask and Mouth Grille Pattern (UFO Blue) - Blocked Open Stud",0.54,? x ? x ?
4546,238,"Minifigure, Head",3626bpx74,"Minifigure, Head Moustache Frown and Pointed Eyebrows and Hairline Pattern - Blocked Open Stud",0.54,? x ? x ?
4547,238,"Minifigure, Head",3626bpb0110,"Minifigure, Head Glasses with Blue Sunglasses and Moustache Pattern - Blocked Open Stud",0.54,? x ? x ?
4563,238,"Minifigure, Head",3626bpb0097,"Minifigure, Head Alien with Robot Male, Blue Eyes Pattern - Blocked Open Stud",0.54,? x ? x ?
4601,238,"Minifigure, Head",3626bpb0098,"Minifigure, Head Glasses with Silver Sunglasses and Goatee Pattern - Blocked Open Stud",0.54,? x ? x ?
4610,238,"Minifigure, Head",3626bpx107,"Minifigure, Head Glasses with Pencil Behind Ear, and Pointed Moustache Pattern - Blocked Open Stud",0.54,? x ? x ?
4611,238,"Minifigure, Head",3626bpx106,"Minifigure, Head Beard with Gray Beard and Under-Eyes Wrinkles Pattern - Blocked Open Stud",0.54,? x ? x ?
4661,238,"Minifigure, Head",3626bpb0042,"Minifigure, Head Alien with Frankenstein Monster Pattern - Blocked Open Stud",0.54,? x ? x ?
4668,238,"Minifigure, Head",3626bpx112,"Minifigure, Head Dual Sided Alien with Mummy Face Awake / Asleep Pattern - Blocked Open Stud",0.54,? x ? x ?
